64-0:0:22f,"SWITCH CH"
64-0:0:ce7,"Swisscom CH"
64-0:0:1a4a,"Sunrise CH"
64-0:0:206c,"Swisscom Lab"
64-0:0:22b3,"UBS Switzerland"
64-0:0:303e,"VTX CH"
64-0:0:32e6,"Init7 CH"
64-0:0:3d07,"Cyberlink"
64-0:0:6177,"EveryWare CH"
64-0:0:e816,"Cyberlink"
64-0:0:e8ff,"EKT AG"
64-0:0:eb7c,"Axpo WZ Systems CH"
64-0:0:fc44,"Frankfurter Bankgesellschaft (Schweiz) AG"
64-0:3:72,"SNB CH"
64-2:0:0,"Anapaya Zurich Internet Collection"
64-2:0:2,"SIX Integration Environment"
64-2:0:3,"ZKB CH"
64-2:0:4,"Mobile Connections POC (Swisscom SIM cards)"
64-2:0:5,"Mobile Connections POC (Swisscom SIM cards)"
64-2:0:9,"ETH Zurich (ETHZ)"
64-2:0:c,"Swiss National Supercomputing Centre (CSCS)"
64-2:0:13,"Anapaya CONNECT Zurich"
64-2:0:14,"Eidgenössisches Departement für auswärtige Angelegenheiten"
64-2:0:17,"Axpo WZ Systems CH"
64-2:0:1a,"Anapaya Zurich Hardturm"
64-2:0:1b,"Sunrise Test AS"
64-2:0:1d,"Swisscom CH Test"
64-2:0:1f,"Sunrise Test AS"
64-2:0:21,"Sunrise Test AS 3"
64-2:0:22,"Sunrise Ambassador House CH ISD"
64-2:0:23,"InterCloud CH Zurich"
64-2:0:27,"Cyberlink Customer A"
64-2:0:28,"Cyberlink Cloud Test AS"
64-2:0:29,"VBS"
64-2:0:2a,"CyberLink"
64-2:0:2b,"Armasuisse CYD Campus Zürich"
64-2:0:2c,"Armasuisse Thun"
64-2:0:2d,"Armasuisse Lausanne"
64-2:0:30,"AWK Group AG"
64-2:0:34,"BNC"
64-2:0:36,"RUAG"
64-2:0:37,"UBS"
64-2:0:38,"UBS"
64-2:0:3a,"Mysten"
64-2:0:41,"RUAG"
64-2:0:44,"VTX"
64-2:0:45,"VTX"
64-2:0:46,"Swisscom"
64-2:0:4c,"AWS PoC Anapaya"
64-2:0:4e,"Infoguard Practical Thesis - Bern"
64-2:0:4f,"Infoguard Honeypot"
64-2:0:53,"Everyware Lab 1"
64-2:0:54,"Everyware Lab 2"
64-2:0:56,"Armasuisse Andermatt"
64-2:0:5d,"BIS Innovation Hub Centre - Switzerland"
64-2:0:60,"BIS Innovation Hub Centre - Switzerland"
64-2:0:62,"Infoguard Practical Thesis Lab - Zug"
64-2:0:63,"smaro GmbH"
64-2:0:64,"Swisscom"
64-2:0:65,"HEIG-VD"
64-2:0:66,"Kanton Solothurn"
64-2:0:6f,"SNB Lausanne"
64-2:0:70,"Anapaya Azure Test AS"
64-2:0:74,"Anapaya Germany GATE Service from Switzerland"
64-2:0:75,"Anapaya France GATE Service from Switzerland"
64-2:0:81,"SUVA"
64-2:0:82,"Anapaya GlobalConnect from Switzerland"
65-0:0:e26d,"International Committee of the Red Cross"
65-2:0:f,"Anapaya CONNECT Frankfurt"
65-2:0:13,"Anapaya Zurich"
65-2:0:19,"Anapaya Frankfurt"
65-2:0:20,"Telindus"
65-2:0:24,"InterCloud FR Paris"
65-2:0:25,"InterCloud AWS"
65-2:0:42,"Mysten"
65-2:0:4b,"Martincoit Networks"
65-2:0:50,"Mainstreaming Milano"
65-2:0:51,"InterCloud UK"
65-2:0:58,"Mysten Labs"
65-2:0:5a,"Mysten Labs London"
65-2:0:5e,"BIS Innovation Hub Centre - Eurosystem - Frankfurt"
65-2:0:67,"Colt Netherlands"
65-2:0:68,"Colt United Kingdom"
65-2:0:69,"Colt Germany"
65-2:0:6a,"Colt United Kingdom Test AS"
65-2:0:6b,"Colt Germany Test AS"
65-2:0:6c,"Cyberlink UK London"
65-2:0:71,"InterCloud Madrid"
65-2:0:76,"Axpo WZ Systems ES"
66-0:0:eca,"LG Uplus Corp."
66-2:0:1,"SNB Singapore"
66-2:0:10,"Anapaya CONNECT Singapore"
66-2:0:11,"Anapaya CONNECT Hong Kong"
66-2:0:15,"Schweizerische Botschaft in der Republik Korea"
66-2:0:16,"Panmunjeom"
66-2:0:18,"SEC Singapore"
66-2:0:47,"Mysten"
66-2:0:55,"InterCloud JP"
66-2:0:59,"Mysten Labs"
66-2:0:5b,"Mysten Labs Japan"
66-2:0:5f,"BIS Innovation Hub Centre - Singapore"
66-2:0:6d,"Cyberlink Japan Tokyo"
67-2:0:1c,"Swisscom US"
67-2:0:1e,"Swisscom Outpost"
67-2:0:26,"InterCloud US Ashburn"
67-2:0:43,"Mysten"
67-2:0:4b,"Martincoit Networks"
67-2:0:57,"Mysten Labs"
67-2:0:6e,"Cyberlink USA New York"
71-0:0:58,"Princeton University"
71-0:0:e1,"University of Virginia"
71-0:0:22f,"SWITCH Education"
71-0:0:474,"SIDN Labs"
71-0:0:9f2,"NCSR Demokritos SCION AS"
71-0:0:103e,"City University of Hong Kong (CityUHK)"
71-0:0:51e5,"GEANT"
71-2:0:35,"BRIDGES"
71-2:0:3b,"KREONET Seoul"
71-2:0:3c,"KREONET Hong Kong"
71-2:0:3d,"KREONET Singapore"
71-2:0:3e,"KREONET Amsterdam"
71-2:0:3f,"KREONET Chicago"
71-2:0:40,"KREONET Seattle"
71-2:0:48,"Equinix"
71-2:0:49,"CybExer Technologies"
71-2:0:4a,"Ovgu"
71-2:0:4d,"Korea University"
71-2:0:5c,"Universidade Federal de Mato Grosso do Sul"
71-2:0:61,"National University of Singapore"
72-0:0:22f,"SWITCH HVR"
72-0:0:ce7,"Swisscom HVR"
72-0:0:1a4a,"Sunrise HVR"
72-0:0:3d07,"Cyberlink HVR"
72-0:0:e816,"Cyberlink"
72-2:0:13,"Anapaya Zurich"
72-2:0:2e,"HIN Platform HVR - Glattbrugg"
72-2:0:2f,"HIN Platform HVR - Pratteln"
72-2:0:33,"HIN HVR CA"
